run_id,C,penalty,solver,max_iter,l1_ratio,auc
w85ls6m3,32.49615275759639,elasticnet,saga,200,0.12258073855697228,0.9051532271871255
5i2nhh8n,0.29588467264937635,elasticnet,saga,500,0.3374124907110947,0.9054385664555156
m98bp4go,0.004217774169627234,elasticnet,saga,200,0.2338536297730618,0.8961935741596758
0slhhwqx,0.00038857474198295753,elasticnet,saga,500,0.6979268747344222,0.5
s4mm19uc,5235.805871997341,elasticnet,saga,500,0.7484912828339139,0.9051532271871254
